business_id,name,industry,turnover,electricity_usage,employee_count,freight_cost
16SGYPF0503T9ZE,Entity_1,Retail,187.25,5614.59,57,937.91
26YRUIX4115K9ZF,Entity_2,Construction,251.92,7560.84,78,1258.59
27ENMTA2269N9ZJ,Entity_3,Services,166.89,5002.22,135,835.37
30BVVAY8881K3ZH,Entity_4,Services,149.87,4496.34,121,750.87
21SYIHX4434R7Z8,Entity_5,Logistics,134.96,4047.08,42,2699.25
11YDGNZ2254B8ZE,Entity_6,Construction,230.97,6929.61,70,1155.61
26XMVWT5835E5Z0,Entity_7,Logistics,171.59,5150.54,54,3430.72
16CCUBC6066Z7ZV,Entity_8,Services,246.67,7404.86,1592,1235.27
30JYAEE7714A8Z1,Entity_9,Manufacturing,254.07,25408.09,78,1270.82
22OGLUX8921O2ZD,Entity_10,Retail,240.83,7229.6,584,1203.64
23QVONX4102O2ZC,Entity_11,Manufacturing,95.88,9584.6,31,477.51
34ADDWZ2037L8ZV,Entity_12,Logistics,77.92,2335.9,26,1558.01
10UUTJI9076Q5Z4,Entity_13,Wholesale,372.87,11189.61,114,1863.4
18MULWU1929B6Z5,Entity_14,Construction,341.3,81883.76,105,1704.76
28CKOWH0666Q1Z7,Entity_15,Logistics,67.33,2022.58,23,1347.96
16HNIOE0265X6ZN,Entity_16,Construction,395.76,11868.29,120,1976.83
31GMDHI0050G1ZP,Entity_17,Retail,270.38,8107.9,83,1353.73
19AMQSX3490I1ZZ,Entity_18,Logistics,59.52,1789.31,20,1188.69
12YABVQ0939M7ZV,Entity_19,Logistics,81.73,2455.7,27,1635.62
34JEODM0340L8ZQ,Entity_20,Manufacturing,89.32,8927.79,27,446.11
25TWJIZ1250S4ZW,Entity_21,Construction,199.71,47940.96,61,999.38
13FIXDX7578V1ZI,Entity_22,Construction,32.33,973.37,11,161.46
18DNBBF0606H7ZL,Entity_23,Logistics,369.85,88757.76,112,7397.62
14AWXQT4891I5ZH,Entity_24,Manufacturing,46.98,4702.4,16,234.8
37FYKKJ0740G9ZN,Entity_25,Wholesale,90.19,2701.28,28,449.6
20VFCFY3182M7ZM,Entity_26,Services,126.99,3813.13,104,634.78
16NOUJW9617R6Z8,Entity_27,Wholesale,384.68,11542.72,116,1924.75
28JRVQA3544P9ZO,Entity_28,Logistics,76.51,2294.29,25,1531.44
29PCARZ3896S6Z5,Entity_29,Retail,362.89,10886.13,110,1812.46
29ZHDVI4577S9ZF,Entity_30,Services,288.64,8661.24,233,1442.7
27DNSEL7024W3ZI,Entity_31,Retail,71.18,2133.14,24,356.27
