business_id,name,industry,turnover,electricity_usage,employee_count,freight_cost
31RTVZR6289T7ZJ,Entity_1,Construction,39.47,1185.56,12,196.31
24LKSWX1400O7Z5,Entity_2,Wholesale,39.14,1176.9,13,195.44
17ATTCD0189W5ZS,Entity_3,Retail,68.49,20503.1,23,341.43
37VEXKA8526I9ZB,Entity_4,Services,82.5,2470.79,68,413.72
20LWFFI8745P9ZP,Entity_5,Wholesale,340.64,10220.0,104,1702.28
26FICUV5338K6ZC,Entity_6,Wholesale,229.3,6879.68,71,1145.75
34KRDCB4829J9ZA,Entity_7,Logistics,329.35,9876.22,101,6586.79
22UBZCE2463Z3ZP,Entity_8,Services,354.18,10623.77,284,1770.9
19ESSBV8270W6Z9,Entity_9,Wholesale,344.18,10328.82,106,1721.98
32FEETD4585Q2ZX,Entity_10,Logistics,206.28,6189.33,62,4127.0
19GSWGV7161Z7ZO,Entity_11,Manufacturing,313.51,31354.8,97,1565.55
35GLFVD8937T1ZV,Entity_12,Retail,364.95,10947.85,112,1824.88
19HMBEY6892E9ZK,Entity_13,Construction,310.36,9313.43,94,1553.53
33RKHJQ9878P2Z4,Entity_14,Wholesale,361.88,10854.19,110,1807.71
32XZZDT5657R4ZT,Entity_15,Manufacturing,214.62,21459.46,67,1074.28
21SDBJH8017X6ZI,Entity_16,Logistics,350.57,10515.3,108,7011.72
24ZTFLQ5611C1ZK,Entity_17,Services,36.22,1084.81,31,179.69
22FXSAG0481G9ZT,Entity_18,Manufacturing,367.23,36726.03,111,1838.06
25BTVOU3597S9Z8,Entity_19,Wholesale,286.76,86053.4,89,1432.51
29GQZYF9684C8Z1,Entity_20,Retail,128.29,3845.59,39,641.39
17NTDKK2149C1ZC,Entity_21,Manufacturing,346.23,34618.55,106,1730.46
14OEWUU2758X7ZV,Entity_22,Retail,93.12,2793.44,28,466.07
26PTWZR8678B7ZO,Entity_23,Retail,51.92,1555.95,18,258.83
23VQGRQ0506M2ZW,Entity_24,Construction,126.7,3801.09,41,633.96
22VWRFD8680C4ZA,Entity_25,Wholesale,219.02,6568.8,66,1096.07
25KVCHV3768O7Z0,Entity_26,Wholesale,303.62,9111.3,93,1517.47
15GPNHR1522S9Z4,Entity_27,Manufacturing,41.53,4155.04,15,206.06
