business_id,name,industry,turnover,electricity_usage,employee_count,freight_cost
21OYJMQ6124I5Z8,Entity_1,Wholesale,20.1,600.62,9,98.82
24OURYS4661Q5ZA,Entity_2,Construction,291.0,8734.95,89,1456.11
11AIGFU3810B1ZI,Entity_3,Construction,160.3,4804.49,51,802.16
14BPQOM5490W1ZA,Entity_4,Construction,254.73,7640.91,78,1273.81
13NOJCF9124G2ZO,Entity_5,Logistics,289.36,8681.24,88,5787.53
31OOHCN8773F3ZE,Entity_6,Construction,262.96,7890.85,79,19731.300000000003
17SOLNJ6533G2ZK,Entity_7,Manufacturing,229.78,22976.23,70,1147.1
11GSLXD6160A4Z6,Entity_8,Construction,175.29,5255.8,55,878.14
14MRXJW8236L5Z5,Entity_9,Manufacturing,218.82,21878.01,67,1094.0
29AAIGW2357X2Z7,Entity_10,Retail,31.97,957.86,10,159.73
33OCAPO2677X7ZV,Entity_11,Services,57.23,1720.74,46,287.78
24EBOYA8711R4ZK,Entity_12,Services,376.27,11287.69,302,1883.22
23TMGOS4818T9ZA,Entity_13,Construction,87.99,2643.18,29,438.36
21UJAZX4391R5ZO,Entity_14,Retail,204.17,6127.99,64,1021.9
30XKCVX9190A4ZK,Entity_15,Construction,230.77,6922.22,71,1152.1
24ABLLR4545S3ZR,Entity_16,Construction,399.17,11977.05,121,1997.36
15TMJZE1994K7ZH,Entity_17,Services,190.32,5707.92,153,951.05
30LDLUM2316O3ZE,Entity_18,Logistics,303.94,9115.63,93,6078.58
26ONEAR4096J4ZF,Entity_19,Retail,397.32,11915.65,122,1987.12
31LPYQW4922S9ZP,Entity_20,Retail,80.63,2419.01,26,401.97
27AEYKA0445N6ZA,Entity_21,Logistics,97.78,2929.5,30,1955.37
29QFOBT6911U7ZH,Entity_22,Retail,147.11,4409.88,45,736.59
21DOIUC1703V5ZZ,Entity_23,Retail,149.95,4494.89,45,750.78
13WUMGV1111P5ZJ,Entity_24,Retail,291.58,8748.66,88,1456.31
33FBKKD7495Q9Z1,Entity_25,Manufacturing,369.35,36935.11,113,1847.37
21PLKMA5941J9ZZ,Entity_26,Manufacturing,379.7,37974.79,115,1898.17
35MFDNG7170X9ZH,Entity_27,Retail,196.7,5898.69,60,983.85
31JGDCB7754F3Z6,Entity_28,Wholesale,19.78,593.16,6,1490.5500000000002
18NUIDH6544T5ZS,Entity_29,Logistics,340.0,10198.49,104,6798.52
34QGPXJ1307C7ZU,Entity_30,Wholesale,153.51,4606.24,48,766.22
22LCZAP3746E9ZO,Entity_31,Services,38.42,1150.44,33,191.87
35SCFOG1964T1ZW,Entity_32,Manufacturing,202.19,20219.15,62,1010.42
23RHJXG0763O9ZG,Entity_33,Wholesale,392.85,11788.48,118,29489.85
32UAJAQ4650X7Z5,Entity_34,Construction,329.4,9882.1,100,1648.37
32RKQKP0956R5ZI,Entity_35,Wholesale,80.76,2418.66,26,402.19
33HWNIL9877J6ZV,Entity_36,Logistics,375.82,11278.13,115,7516.48
32PPLZJ1144U7ZQ,Entity_37,Construction,386.85,11609.17,117,1934.36
10LZXXZ6874R3ZJ,Entity_38,Retail,388.72,11661.75,119,1945.43
13VDMQC2720B8ZM,Entity_39,Retail,54.28,1627.75,18,271.34
17ZEZWS7508L6ZK,Entity_40,Logistics,80.05,2397.85,25,1600.34
28QZSZA7533X5Z2,Entity_41,Retail,111.84,3357.1,36,560.82
18EJRTH4242N6ZN,Entity_42,Logistics,276.94,8305.27,85,5538.01
30UPFPK9716S3ZH,Entity_43,Retail,282.51,8475.75,87,1410.58
34AFTYY0264R2ZZ,Entity_44,Wholesale,119.4,3583.33,38,597.01
33EDQSZ4201M1Z0,Entity_45,Construction,89.13,2678.52,28,445.77
28EDIQQ4056H6ZS,Entity_46,Services,169.6,5083.01,137,849.3
27HPPCU1840K8Z1,Entity_47,Services,93.91,2814.92,78,469.25
28BTPBA4549D3ZH,Entity_48,Manufacturing,326.39,32635.37,100,1633.56
21GWKTP2020A4ZD,Entity_49,Construction,290.83,8722.12,88,1453.03
33NFIGD0738Q2ZN,Entity_50,Manufacturing,115.05,11500.31,35,8653.949999999999
35AMMPW6040H8ZM,Entity_51,Construction,68.98,2066.21,21,343.2
32IOTFH8993I1Z3,Entity_52,Wholesale,181.86,5456.41,55,908.7
18AWISW7837C1Z3,Entity_53,Services,381.42,11445.4,308,1908.28
19BMHAG6383O2ZA,Entity_54,Manufacturing,170.02,17001.04,54,849.74
22VMDND1271A7ZP,Entity_55,Wholesale,26.81,805.3,11,135.52
14WDLVH6282U9ZN,Entity_56,Construction,304.53,9138.23,93,1521.9
21LJUJY5603J5ZR,Entity_57,Retail,376.72,11306.46,116,28229.100000000002
11LWKGP7170L6ZT,Entity_58,Construction,388.17,11648.17,119,1942.27
13ZAXMM2650G5ZG,Entity_59,Wholesale,16.94,512.46,7,83.88
23UGIAZ0138Y1ZR,Entity_60,Services,182.91,5483.19,147,913.8
26JBZWI2325T7ZW,Entity_61,Logistics,58.13,1743.26,20,1162.33
15BQIZK9288K9ZD,Entity_62,Manufacturing,299.64,29960.56,91,1499.27
32YIASY3636S6ZR,Entity_63,Construction,163.75,4914.6,52,12297.15
22KQJSX1929E6ZT,Entity_64,Logistics,118.67,3564.92,37,2371.72
21DZDDN0028Y3ZN,Entity_65,Retail,87.99,2643.95,27,438.84
33JUSBZ0384M9Z5,Entity_66,Construction,387.28,11618.27,118,1934.98
27CKYSZ7650H5ZP,Entity_67,Construction,379.96,11398.06,115,1901.4
32FGKGD7639O1ZL,Entity_68,Construction,368.86,11066.93,112,27676.5
24VRBFY0409M6ZB,Entity_69,Services,48.77,1463.64,40,245.54
15JWYPS3165G8ZT,Entity_70,Logistics,11.58,345.77,4,232.42
27XUIUA0510G1ZJ,Entity_71,Retail,43.48,1304.98,15,215.71
30LRDJG9818Q6ZY,Entity_72,Logistics,295.84,8875.75,91,5916.78
18XIQRR6316Q4ZZ,Entity_73,Logistics,73.62,2210.01,23,1474.14
35OWANG3260G2Z6,Entity_74,Services,347.72,10427.3,280,1738.64
12CEMVU0932D3ZP,Entity_75,Logistics,250.01,7500.01,76,5001.56
25YKFWS5163L8ZS,Entity_76,Manufacturing,332.18,33220.21,101,1661.01
33JBXUR9633V3ZO,Entity_77,Services,200.14,6002.97,163,998.84
23XCZAG5856Q2Z2,Entity_78,Wholesale,190.53,5719.01,58,951.14
24SVSVS4765F9Z5,Entity_79,Retail,291.55,8743.67,88,1455.82
32PNJSY2776K2ZO,Entity_80,Manufacturing,232.74,23276.61,72,1165.33
24VEXXE8353J9ZK,Entity_81,Retail,398.65,11958.29,122,1992.0
17SCNES4302V4ZZ,Entity_82,Wholesale,230.31,6905.94,70,1151.42
29PGGPG5941P4ZJ,Entity_83,Manufacturing,84.26,8425.14,26,6293.25
29RMJAK2812V1ZQ,Entity_84,Logistics,96.61,2901.55,29,1932.99
24OXNRC1522E2ZJ,Entity_85,Retail,59.99,1799.04,18,300.3
15BNIQA4369M4ZH,Entity_86,Wholesale,161.72,4849.86,49,809.2
13ONFCD7445J1ZP,Entity_87,Wholesale,140.65,4215.66,45,705.08
21LSHPT0140X6ZH,Entity_88,Manufacturing,374.16,37411.82,115,1872.21
33ECJNQ0745Z6ZK,Entity_89,Construction,135.44,4065.25,41,676.49
16ZHVCR1437Z8ZT,Entity_90,Construction,344.77,10341.97,104,1725.06
24KTZXI4304X9ZO,Entity_91,Logistics,172.33,5168.94,53,3447.68
35BSSKF9067Y2ZV,Entity_92,Services,237.2,7113.42,191,1185.63
35UQKJM3616A4ZY,Entity_93,Retail,191.32,5736.45,59,958.02
12HHWRF1265Q1ZS,Entity_94,Manufacturing,111.05,11104.13,36,556.29
34EXMKE7757V4ZR,Entity_95,Construction,193.36,5802.76,59,14521.050000000001
25NBRZX8052G6ZT,Entity_96,Manufacturing,356.66,35665.17,109,1784.46
24LTHFA6534E4ZT,Entity_97,Services,297.64,8926.76,241,1487.81
17DTQSC9709I1ZV,Entity_98,Retail,201.01,6035.18,62,1006.87
16SBQKV7094U1Z2,Entity_99,Retail,208.24,6243.74,63,1039.5
23BRRMF6634T2ZJ,Entity_100,Wholesale,181.99,5455.63,55,909.56
12SNZBC6025H1ZX,Entity_101,Wholesale,63.8,1909.56,21,317.42
19VGKTM8298A7Z1,Entity_102,Construction,175.85,5277.92,54,880.9
23PCIZE9759W3ZS,Entity_103,Logistics,158.39,4748.22,49,3167.87
28ZWAKU4480W6ZO,Entity_104,Wholesale,287.21,8616.51,89,21548.1
19OLEBI2926U8ZX,Entity_105,Wholesale,324.48,9739.18,99,24315.0
31WGCLS0465W7Z3,Entity_106,Services,234.62,7040.43,190,17614.35
10QBJQV5395Z4ZJ,Entity_107,Construction,93.47,2806.03,31,468.27
21PZDMG7312R4ZY,Entity_108,Manufacturing,83.79,8382.07,26,419.56
13DAFAU0780P3Z8,Entity_109,Wholesale,369.84,11091.64,111,1848.15
13ZLKPJ1113J7Z4,Entity_110,Wholesale,21.7,655.33,9,108.93
26QQZNE3129L9ZE,Entity_111,Manufacturing,141.39,14139.48,43,706.98
10NGMAH0787F9ZD,Entity_112,Wholesale,121.27,3635.84,37,606.23
15SHWPW2600N1ZD,Entity_113,Retail,210.54,6311.96,65,1050.97
26MSRFU7278G7ZO,Entity_114,Wholesale,156.39,4696.41,49,783.45
37GHOTN0978Y9Z2,Entity_115,Logistics,183.01,5489.44,56,3660.9
