business_id,name,industry,turnover,electricity_usage,employee_count,freight_cost
32KKIZY2072T3ZV,Entity_1,Retail,102.76,3086.09,33,513.41
14QCHUP8023O1ZB,Entity_2,Manufacturing,110.52,11051.92,34,554.24
15TEPHN3054A8ZN,Entity_3,Services,378.85,11367.51,304,1893.58
31NCTAI6932I1ZQ,Entity_4,Retail,395.15,11857.27,121,1975.53
30CQGLK1797T8Z8,Entity_5,Manufacturing,326.32,32634.1,100,1632.93
29BPGOQ5003P7ZN,Entity_6,Wholesale,193.99,5820.32,61,968.39
32EKLFN7299Z6ZW,Entity_7,Manufacturing,86.79,8678.89,29,434.56
11RBSJM7486G9Z7,Entity_8,Retail,16.25,491.84,5,82.68
18MRTFJ9653Q2ZB,Entity_9,Wholesale,261.26,7839.32,81,1306.63
36LBIID2670O7ZO,Entity_10,Retail,56.39,13525.28,18,280.42
11LBQXI9003D8ZK,Entity_11,Manufacturing,301.14,30116.81,93,1505.54
24UJFJP5776E8ZF,Entity_12,Construction,77.79,2337.96,26,390.12
10NAUJE5684G1ZL,Entity_13,Wholesale,189.45,5682.07,58,948.37
33PKWFS5277B4Z7,Entity_14,Logistics,270.07,8099.76,82,5402.55
15QNWZP4493W9ZK,Entity_15,Retail,68.16,2044.57,22,342.17
34AFCCM7587O1ZO,Entity_16,Services,22.71,679.34,19,113.29
16PUXEK7318X6ZO,Entity_17,Construction,252.31,7566.92,77,1262.81
13GYRJJ1893A5ZI,Entity_18,Wholesale,175.32,5257.56,55,877.7
10ISOMI1691P5ZR,Entity_19,Services,136.15,4084.34,110,678.98
33LNDPK9168C9ZU,Entity_20,Logistics,387.01,11606.08,118,7738.41
23SMDQO5309A6ZB,Entity_21,Manufacturing,59.27,5928.82,20,296.41
14GXTQS4384M3Z7,Entity_22,Services,158.08,4744.58,127,791.75
15EESFM3667D6Z4,Entity_23,Manufacturing,10.8,1076.24,5,55.6
32IOIDV7796U1Z1,Entity_24,Manufacturing,229.87,22983.63,70,1149.64
29QISUN2926Y2ZO,Entity_25,Wholesale,336.43,10095.81,103,1681.68
29OXYAF7232I5ZP,Entity_26,Logistics,338.16,10142.96,102,6764.27
13NPBIR8013Z7ZD,Entity_27,Wholesale,77.02,2311.01,26,386.6
33BEXWL9849A4ZE,Entity_28,Construction,50.12,1501.9,17,250.58
15EZYQG7550S5ZF,Entity_29,Retail,211.6,6346.37,66,1057.66
25MMRQE8848J8ZG,Entity_30,Services,244.49,7338.36,197,1223.68
35ZQATF8645J7Z5,Entity_31,Retail,299.76,8989.14,92,1499.82
33OVFFR1365H8ZV,Entity_32,Services,321.31,9641.99,259,1605.45
14ILUAS3754O3Z3,Entity_33,Retail,142.45,4277.19,43,711.74
37QBFPK1872N3ZU,Entity_34,Construction,296.67,8898.6,92,1483.21
16JLXBY3878P1Z6,Entity_35,Wholesale,233.96,7015.8,71,1170.64
30SFAQU0074H1Z4,Entity_36,Construction,29.51,889.79,10,148.2
24QLOHS2819P7ZV,Entity_37,Manufacturing,238.33,23830.85,72,1191.24
36WUMIS0238V3ZR,Entity_38,Construction,92.13,2764.83,29,460.05
24IYSNP7902T6ZS,Entity_39,Retail,296.88,8905.9,92,1486.15
33NFWZB9738K1ZW,Entity_40,Construction,286.87,8607.01,89,1435.83
21FUHBS3788R5Z8,Entity_41,Services,345.17,10352.28,277,1724.01
14LXXDR9140J2Z5,Entity_42,Wholesale,288.46,8650.55,87,1442.62
